symbol,grade,entry_date,exit_date,percent_move
RIVN,B,2025-11-11,2025-11-13,-9.05
QS,A+,2025-09-19,2025-09-24,-6.93
CHPT,A+,2025-06-05,2025-07-11,-2.36
BLNK,A,2025-09-22,2025-09-25,-5.56
SEDG,B+,2025-11-11,2025-11-13,-18.52
FSLR,B+,2025-08-18,2025-08-20,-5.88
FSLR,B,2025-10-16,2025-10-22,-6.07
FSLR,B+,2025-11-03,2025-12-31,-1.69
FSLR,C,2025-12-23,2025-12-31,-3.03
PLUG,A+,2025-07-10,2025-07-14,-6.55
PLUG,A+,2025-09-18,2025-11-14,7.14
FCEL,A+,2025-06-09,2025-06-10,-10.04
FCEL,A,2025-09-11,2025-11-17,1.86
BE,A+,2025-07-10,2025-12-12,267.43
BB,B+,2025-06-26,2025-07-01,-8.05
NOK,B,2025-09-18,2025-12-31,35.92
MARA,B+,2025-09-17,2025-09-25,-7.32
RIOT,B,2025-09-10,2025-11-11,-1.59
HUT,B+,2025-07-03,2025-11-13,64.47
IONQ,A+,2025-09-15,2025-11-04,-9.69
SOUN,A,2025-07-09,2025-07-11,-10.31
