symbol,grade,entry_date,exit_date,entry_price,exit_price,percent_move,days_held,exit_type
CGNX,B,2026-05-06,2026-05-27,62.26,66.7,7.13,14,OPEN
LRCX,B+,2026-05-07,2026-05-19,286.51999,266.4635907,-7.0,8,HARD_STOP_LARGE
NWBI,B+,2026-04-29,2026-05-27,13.75,13.91,1.16,19,OPEN
STAA,B,2026-05-14,2026-05-27,32.0099983,31.39,-1.94,8,OPEN
TTWO,B+,2026-05-15,2026-05-22,242.44,225.4692,-7.0,5,HARD_STOP_LARGE
