date,ticker,result,breakout_price,exit_price,percent_move,duration_days
2026-03-23,SOPH,LOSS,5.19,4.74,-8.67,6
2026-03-24,RICK,LOSS,24.72,23.86,-3.48,4
2026-03-24,AEIS,LOSS,356.38,313.28,-12.09,4
2026-03-25,GSAT,LOSS,67.37,60.27,-10.54,3
2026-03-25,SSSS,LOSS,10.55,10.285,-2.51,3
