symbol,grade,entry_date,exit_date,entry_price,exit_price,percent_move,days_held,exit_type
ABVX,B+,2025-10-31,2026-01-28,102.42,113.98,11.29,59,EXIT
ACDC,B+,2026-03-11,2026-05-28,5.86,6.07,3.58,54,EXIT
ADAM,B+,2024-12-10,2024-12-11,6.55,6.48,-1.07,1,FAILED_BREAKOUT_SMALL
ADAM,B+,2025-11-26,2025-11-28,7.66,7.62,-0.52,1,FAILED_BREAKOUT_SMALL
ADI,B+,2025-05-13,2025-05-23,226.67999,210.8123907,-7.0,8,HARD_STOP_LARGE
ADTN,B+,2025-01-07,2025-03-06,9.64,9.51,-1.35,39,EXIT
ALGT,B,2025-10-22,2025-10-30,66.36,61.0512,-8.0,6,HARD_STOP_MID
ALGT,B,2026-02-05,2026-03-03,99.42,92.4606,-7.0,17,HARD_STOP_LARGE
AMBA,B,2025-01-22,2025-01-27,81.56,75.8508,-7.0,3,HARD_STOP_LARGE
AMGN,B+,2025-11-06,2026-03-20,315.59,347.79999,10.21,91,EXIT
AMZN,B+,2025-06-30,2025-09-23,219.39,220.71001,0.6,59,EXIT
ANAB,B,2025-06-04,2025-06-05,14.18,14.093333,-0.61,1,FAILED_BREAKOUT_SMALL
ARKO,B+,2025-02-14,2025-02-18,7.71,7.6,-1.43,1,FAILED_BREAKOUT_SMALL
ASTL,B,2026-05-29,2026-06-02,5.62,5.61,-0.18,2,FAILED_BREAKOUT_SMALL
ATAT,B,2025-11-04,2025-11-19,39.66,37.28,-6.0,11,FAILED_MID_TREND
ATRO,B,2025-03-25,2025-03-27,26.5,25.35,-4.34,2,FAILED_MID_BREAKOUT
AVO,B+,2025-06-13,2025-06-23,12.33,12.26,-0.57,5,FAILED_BREAKOUT_SMALL
AZ,B,2025-07-11,2025-07-15,11.42,11.22,-1.75,2,FAILED_BREAKOUT_SMALL
AZTA,A,2025-11-24,2025-11-28,36.7,35.56,-3.11,3,FAILED_MID_BREAKOUT
BDTX,B,2025-09-10,2025-09-15,3.21,3.19,-0.62,3,FAILED_BREAKOUT_SMALL
BIIB,B+,2026-02-09,2026-03-13,193.81,181.55,-6.33,23,EXIT
BLFS,A,2026-05-21,2026-05-22,24.74,23.95,-3.19,1,FAILED_MID_BREAKOUT
BLZE,A,2025-02-10,2025-02-11,7.48,7.33,-2.01,1,FAILED_BREAKOUT_SMALL
BTSG,B+,2025-10-01,2025-10-02,29.84,28.75,-3.65,1,FAILED_MID_BREAKOUT
BWIN,A+,2025-06-24,2025-06-25,44.54,41.56,-6.69,1,FAILED_MID_BREAKOUT
CAKE,B+,2025-07-24,2025-07-29,65.48,63.18,-3.51,3,FAILED_MID_BREAKOUT
CART,B,2025-02-20,2025-02-24,52.55,49.36,-6.07,2,FAILED_MID_BREAKOUT
CASY,A,2025-09-10,2025-10-24,538.5,531.14001,-1.37,32,EXIT
CBRL,B,2025-07-24,2025-07-28,66.86,63.83,-4.53,2,FAILED_MID_BREAKOUT
CFFN,B,2025-11-26,2025-11-28,6.64,6.61,-0.45,1,FAILED_BREAKOUT_SMALL
CGNT,B,2024-12-17,2024-12-18,9.26,8.6,-7.13,1,FAILED_BREAKOUT_SMALL
CGNT,B,2026-05-07,2026-05-11,11.0,10.86,-1.27,2,FAILED_BREAKOUT_SMALL
CGNX,B+,2025-07-11,2025-07-15,34.34,33.22,-3.26,2,FAILED_MID_BREAKOUT
CGNX,B,2026-05-06,2026-06-02,62.26,66.080002,6.14,18,OPEN
CLNE,A,2026-02-06,2026-02-09,2.75,2.72,-1.09,1,FAILED_BREAKOUT_SMALL
CLYM,A,2025-07-29,2025-07-31,1.51,1.4,-7.28,2,FAILED_BREAKOUT_SMALL
CMCSA,A+,2025-12-17,2025-12-22,28.41612,27.42268,-3.5,3,FAILED_MID_BREAKOUT
CNTA,A,2025-02-10,2025-02-11,17.79,17.26,-2.98,1,FAILED_BREAKOUT_SMALL
COHU,A,2026-01-07,2026-03-12,26.78,27.48,2.61,44,EXIT
COKE,B,2025-01-21,2025-01-24,135.94,129.2,-4.96,3,EARLY_STOP
CRDF,A,2025-10-09,2025-10-10,2.38,2.21,-7.14,1,FAILED_BREAKOUT_SMALL
CRON,B,2025-08-08,2025-10-22,2.3,2.41,4.78,52,EXIT
CSCO,B+,2025-08-11,2025-08-15,70.67,66.2,-6.33,4,EXIT
CSTL,B+,2025-11-03,2026-02-04,25.99,34.96,34.51,63,EXIT
DDOG,B,2025-10-02,2025-12-04,151.57001,153.0,0.94,44,EXIT
DFTX,B,2025-12-24,2025-12-26,13.43,13.06,-2.76,1,FAILED_BREAKOUT_SMALL
DIOD,B,2025-07-02,2025-07-07,56.72,54.62,-3.7,2,FAILED_MID_BREAKOUT
DOMO,B,2024-12-05,2024-12-06,9.74,7.98,-18.07,1,FAILED_BREAKOUT_SMALL
DRVN,B,2025-03-03,2025-03-04,17.2,16.46,-4.3,1,FAILED_BREAKOUT_SMALL
EBAY,B+,2025-01-10,2025-02-27,65.9,63.48,-3.67,32,FAILED_MID_TREND
ENSG,B+,2026-02-06,2026-04-21,197.8,191.74001,-3.06,50,EXIT
EXPO,B+,2026-02-09,2026-02-11,78.34,71.72,-8.45,2,FAILED_MID_BREAKOUT
FFBC,B,2025-08-25,2025-09-10,26.5,26.15,-1.32,11,FAILED_MID_TREND
FFBC,B,2026-01-30,2026-02-27,28.74,28.07,-2.33,19,FAILED_MID_TREND
FFIV,B+,2025-10-09,2025-10-16,342.35001,318.3855093,-7.0,5,HARD_STOP_LARGE
FIVE,A,2026-04-21,2026-05-08,237.10001,220.5030093,-7.0,13,HARD_STOP_LARGE
FORM,B,2025-09-17,2026-06-01,31.77,115.07,262.2,176,EXIT
FOXA,B,2025-02-20,2025-03-07,57.38,55.67,-2.98,11,FAILED_MID_TREND
FOXA,A,2026-04-10,2026-06-02,61.02,65.69,7.65,36,OPEN
FROG,B+,2025-12-10,2025-12-15,68.73,66.15,-3.75,3,FAILED_MID_BREAKOUT
FRPT,B,2026-01-21,2026-02-05,69.86,67.37,-3.56,11,FAILED_MID_TREND
FTAI,B+,2025-09-09,2025-11-04,165.39,153.8127,-7.0,40,HARD_STOP_LARGE
FUTU,B+,2025-07-09,2025-10-10,142.39999,154.60001,8.57,66,EXIT
FWRG,B,2025-02-19,2025-02-20,21.44,20.68,-3.54,1,FAILED_MID_BREAKOUT
GDS,B+,2026-01-05,2026-03-03,37.53,37.99,1.23,39,EXIT
GILT,B+,2025-09-09,2025-09-10,10.68,10.57,-1.03,1,FAILED_BREAKOUT_SMALL
GLBE,B+,2025-11-25,2025-12-15,39.46,38.5,-2.43,13,FAILED_MID_TREND
GLNG,B+,2026-03-20,2026-04-17,52.67,51.84,-1.58,19,FAILED_MID_TREND
GTX,B+,2024-12-06,2025-03-11,8.91,9.09,2.02,62,EXIT
GTX,A,2026-02-12,2026-02-19,20.6,18.952,-8.0,4,HARD_STOP_MID
HAS,A,2025-05-13,2025-06-02,65.83,65.55,-0.43,13,FAILED_MID_TREND
HAS,B,2025-06-25,2025-09-16,71.68,74.69,4.2,57,EXIT
HLMN,A,2026-02-05,2026-02-06,10.54,10.48,-0.57,1,FAILED_BREAKOUT_SMALL
HON,B+,2025-10-24,2025-10-27,203.71347,202.705,-0.5,1,EXIT
HSIC,B,2025-01-30,2025-02-25,80.029999,74.42789907000001,-7.0,17,HARD_STOP_LARGE
HST,B,2025-05-13,2025-05-14,15.76,15.5,-1.65,1,FAILED_BREAKOUT_SMALL
IDXX,B,2025-07-28,2025-07-31,566.5,534.31,-5.68,3,EARLY_STOP
INCY,B,2026-01-08,2026-01-30,105.92,100.07,-5.52,15,EXIT
INDV,B+,2025-06-02,2026-02-10,12.46,33.46,168.54,174,EXIT
INSM,A+,2025-08-13,2025-12-18,122.87,166.55,35.55,89,EXIT
IONS,B,2025-06-25,2026-01-16,40.0,76.33,90.83,142,EXIT
IRTC,A+,2025-02-24,2025-02-25,118.88,113.91,-4.18,1,EARLY_STOP
ISSC,B+,2024-12-27,2024-12-30,8.75,8.55,-2.29,1,FAILED_BREAKOUT_SMALL
ISSC,B+,2025-06-30,2025-07-01,13.88,13.83,-0.36,1,FAILED_BREAKOUT_SMALL
KELYA,B+,2026-01-13,2026-01-20,10.09,9.73,-3.57,4,FAILED_BREAKOUT_SMALL
KELYA,B,2026-02-03,2026-03-03,10.64,9.31,-12.5,19,EXIT
KLAC,B+,2025-01-07,2025-03-03,689.29999,691.15002,0.27,36,EXIT
KLAC,B+,2025-05-13,2025-08-22,795.90002,870.28003,9.35,70,EXIT
KTOS,B+,2025-05-28,2025-11-05,37.33,77.41,107.37,112,EXIT
KURA,B,2025-09-29,2025-09-30,8.97,8.85,-1.34,1,FAILED_BREAKOUT_SMALL
LAND,B+,2025-11-11,2025-11-12,9.99,9.89,-1.0,1,FAILED_BREAKOUT_SMALL
LBTYA,B,2026-02-09,2026-02-10,11.61,11.56,-0.43,1,FAILED_BREAKOUT_SMALL
LGN,A,2026-04-13,2026-06-02,65.38,85.54,30.84,35,OPEN
LGO,B,2025-09-12,2025-10-15,1.62,1.44,-11.11,23,EXIT
LINC,B,2025-05-28,2025-06-09,23.72,21.8224,-8.0,8,HARD_STOP_MID
LIND,B+,2025-07-02,2025-09-25,12.64,12.87,1.82,59,EXIT
LITE,B+,2025-08-29,2026-06-02,132.81,1029.15002,674.9,189,OPEN
LIVN,B+,2025-11-13,2025-11-17,55.2,53.64,-2.83,2,EXIT
LOGI,B,2026-05-06,2026-06-02,103.42,126.69,22.5,18,OPEN
LPLA,A,2025-05-12,2025-08-07,376.75,368.85001,-2.1,60,EXIT
LRCX,B+,2026-05-07,2026-05-19,286.51999,266.4635907,-7.0,8,HARD_STOP_LARGE
LSCC,B,2026-01-07,2026-03-30,83.019997,85.32,2.77,56,EXIT
MBLY,B+,2024-12-18,2025-01-10,17.35,15.65,-9.8,14,EXIT
MDLZ,B+,2026-04-30,2026-05-15,61.44,60.44,-1.63,11,FAILED_MID_TREND
MGNI,B,2025-06-06,2025-06-09,17.6,17.53,-0.4,1,FAILED_BREAKOUT_SMALL
MTSI,B+,2025-12-04,2025-12-16,187.059998,173.96579814,-7.0,8,HARD_STOP_LARGE
NBIX,A,2025-11-06,2025-11-11,154.8,147.28999,-4.85,3,EARLY_STOP
NWBI,B+,2026-04-29,2026-06-02,13.75,14.16,2.98,23,OPEN
NXPI,B,2026-01-07,2026-02-03,239.34,222.58620000000002,-7.0,18,HARD_STOP_LARGE
NXT,B,2026-01-13,2026-01-14,100.24,94.71,-5.52,1,EARLY_STOP
OCS,A,2026-01-12,2026-03-20,23.15,24.86,7.39,47,EXIT
OCSL,B,2026-04-15,2026-04-16,12.77,12.71,-0.47,1,FAILED_BREAKOUT_SMALL
ODFL,B+,2025-05-13,2025-05-21,171.34,164.19,-4.17,6,EXIT
ODFL,B+,2025-12-04,2026-05-04,153.50999,192.17999,25.19,102,EXIT
OZK,A,2025-07-02,2025-07-28,50.95,50.92,-0.06,17,FAILED_MID_TREND
PAHC,B,2025-11-11,2025-11-19,45.33,41.7036,-8.0,6,HARD_STOP_MID
PAX,B+,2026-01-07,2026-01-09,17.4,17.28,-0.69,2,FAILED_BREAKOUT_SMALL
PAYO,B+,2026-01-26,2026-02-12,6.09,5.38,-11.66,13,EXIT
PCRX,B+,2025-12-12,2025-12-30,26.29,26.07,-0.84,11,FAILED_MID_TREND
PENG,B+,2025-10-07,2025-10-08,27.0,22.675,-16.02,1,FAILED_MID_BREAKOUT
PENN,B,2025-07-11,2025-07-14,17.83,17.75,-0.45,1,FAILED_BREAKOUT_SMALL
PLAB,B+,2025-07-29,2025-07-31,21.39,20.36,-4.82,2,FAILED_MID_BREAKOUT
POWL,B,2025-07-18,2025-07-21,76.083336,73.63667,-3.22,1,FAILED_MID_BREAKOUT
PSKY,B,2025-07-01,2025-07-02,13.16,12.84,-2.43,1,FAILED_BREAKOUT_SMALL
PTCT,B+,2025-10-06,2026-01-16,64.8,72.48,11.85,71,EXIT
PTGX,B,2025-08-28,2026-01-08,58.14,80.2,37.94,91,EXIT
PYPL,B,2025-10-08,2025-10-10,76.13,69.84,-8.26,2,FAILED_MID_BREAKOUT
QMCO,A,2025-09-11,2025-11-04,7.12,8.49,19.24,38,EXIT
QNST,B,2026-05-06,2026-05-11,13.02,12.74,-2.15,3,FAILED_BREAKOUT_SMALL
ROST,A,2025-11-24,2026-05-13,174.13,211.75999,21.61,116,EXIT
ROST,B,2026-05-26,2026-06-02,234.67999,223.82001,-4.63,5,OPEN
RXRX,B+,2025-10-03,2025-10-07,5.49,5.23,-4.74,2,FAILED_BREAKOUT_SMALL
SBRA,B,2026-02-13,2026-03-05,20.17,20.02,-0.74,13,FAILED_MID_TREND
SIDU,B+,2025-07-11,2025-07-14,1.83,1.74,-4.92,1,FAILED_BREAKOUT_SMALL
SIMO,A+,2025-09-12,2025-11-13,88.73,86.6,-2.4,44,EXIT
SIMO,B+,2025-10-03,2025-10-07,98.85,94.45,-4.45,2,EARLY_STOP
SLM,B+,2025-02-19,2025-02-21,32.53,30.68,-5.69,2,FAILED_MID_BREAKOUT
SMCI,A,2025-10-02,2025-10-17,52.5,52.18,-0.61,11,FAILED_MID_TREND
SNPS,B+,2025-07-07,2025-09-10,536.52002,498.9636186000001,-7.0,46,HARD_STOP_LARGE
SRTA,B,2025-07-17,2025-07-18,4.4,4.27,-2.95,1,FAILED_BREAKOUT_SMALL
SRTA,B,2026-05-26,2026-06-01,6.14,6.12,-0.33,4,FAILED_BREAKOUT_SMALL
SSYS,B,2026-05-27,2026-06-02,9.91,10.5,5.95,4,OPEN
STAA,B,2026-05-14,2026-05-28,32.0099983,29.449198436,-8.0,9,HARD_STOP_MID
STLD,A,2025-10-22,2026-03-12,148.56,175.10001,17.86,96,EXIT
STOK,B+,2025-06-04,2025-06-05,10.94,10.88,-0.55,1,FAILED_BREAKOUT_SMALL
